control_extraction_success_random_within_arm,treatment_extraction_success_random_within_arm,raw_control_accuracy,raw_treatment_accuracy,raw_effect,derived_control_accuracy_failure_to_zero,derived_treatment_accuracy_failure_to_zero,derived_effect,distortion,sign_reversed_relative_to_raw,true_null_apparent_effect_if_p0_equals_p1,zero_effect_boundary_residual_r1p1_minus_r0p0
0,0,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0,0,-0.04697975941255994,False,0,0
0,0.05,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.03976373571923016,0.03976373571923016,-0.007216023693329777,False,0.03741474774860216,0.03976373571923016
0,0.1,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.07952747143846033,0.07952747143846033,0.03254771202590039,False,0.07482949549720433,0.07952747143846033
0,0.15,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.1192912071576905,0.1192912071576905,0.07231144774513056,False,0.1122442432458065,0.1192912071576905
0,0.2,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.1590549428769207,0.1590549428769207,0.1120751834643607,False,0.1496589909944087,0.1590549428769207
0,0.25,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.1988186785961508,0.1988186785961508,0.1518389191835909,False,0.1870737387430108,0.1988186785961508
0,0.3,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.238582414315381,0.238582414315381,0.1916026549028211,False,0.224488486491613,0.238582414315381
0,0.35,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.2783461500346112,0.2783461500346112,0.2313663906220512,False,0.2619032342402152,0.2783461500346112
0,0.4,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.3181098857538413,0.3181098857538413,0.2711301263412814,False,0.2993179819888173,0.3181098857538413
0,0.45,0.7482949549720432,0.7952747143846032,0.04697975941255994,0,0.3578736214730714,0.3578736214730714,0.3108938620605115,False,0.3367327297374195,0.3578736214730714
