treatment_correct_extraction_retention,treatment_incorrect_extraction_retention,control_correct_extraction_retention,control_incorrect_extraction_retention,latent_accuracy_both_arms,complete_case_control_accuracy,complete_case_treatment_accuracy,complete_case_apparent_effect,boundary_margin_correct_minus_incorrect_retention,sign
0.05,0.05,1,1,0.7482949549720432,0.7482949549720432,0.7482949549720432,0,0,zero
0.05,0.1,1,1,0.7482949549720432,0.7482949549720432,0.5978205152599111,-0.1504744397121321,-0.05,negative
0.05,0.15,1,1,0.7482949549720432,0.7482949549720432,0.4977317632238408,-0.2505631917482025,-0.1,negative
0.05,0.2,1,1,0.7482949549720432,0.7482949549720432,0.4263509213805994,-0.3219440335914439,-0.15,negative
0.05,0.25,1,1,0.7482949549720432,0.7482949549720432,0.3728759369613004,-0.3754190180107428,-0.2,negative
0.05,0.3,1,1,0.7482949549720432,0.7482949549720432,0.3313201670907749,-0.4169747878812683,-0.2500000000000001,negative
0.05,0.35,1,1,0.7482949549720432,0.7482949549720432,0.298098132217185,-0.4501968227548582,-0.3,negative
0.05,0.4,1,1,0.7482949549720432,0.7482949549720432,0.2709313830975881,-0.4773635718744551,-0.35,negative
0.05,0.45,1,1,0.7482949549720432,0.7482949549720432,0.2483026723588575,-0.4999922826131857,-0.4,negative
0.05,0.5,1,1,0.7482949549720432,0.7482949549720432,0.2291625730523242,-0.5191323819197191,-0.45,negative
0.05,0.55,1,1,0.7482949549720432,0.7482949549720432,0.2127620759356926,-0.5355328790363506,-0.5,negative
0.05,0.6000000000000001,1,1,0.7482949549720432,0.7482949549720432,0.1985522690192412,-0.5497426859528021,-0.55,negative
0.05,0.65,1,1,0.7482949549720432,0.7482949549720432,0.1861217010998454,-0.5621732538721979,-0.6,negative
0.05,0.7000000000000001,1,1,0.7482949549720432,0.7482949549720432,0.1751558875750797,-0.5731390673969635,-0.65,negative
0.05,0.75,1,1,0.7482949549720432,0.7482949549720432,0.1654103346689431,-0.5828846203031001,-0.7,negative
0.05,0.8,1,1,0.7482949549720432,0.7482949549720432,0.1566920944889716,-0.5916028604830716,-0.75,negative
0.05,0.8500000000000001,1,1,0.7482949549720432,0.7482949549720432,0.1488468610731296,-0.5994480938989137,-0.8,negative
0.05,0.9,1,1,0.7482949549720432,0.7482949549720432,0.1417497580436599,-0.6065451969283834,-0.85,negative
0.05,0.9500000000000001,1,1,0.7482949549720432,0.7482949549720432,0.135298641817216,-0.6129963131548273,-0.9,negative
0.05,1,1,1,0.7482949549720432,0.7482949549720432,0.1294091538641821,-0.6188858011078611,-0.95,negative
0.1,0.05,1,1,0.7482949549720432,0.7482949549720432,0.8560282723964151,0.1077333174243719,0.05,positive
0.1,0.1,1,1,0.7482949549720432,0.7482949549720432,0.7482949549720432,0,0,zero
0.1,0.15,1,1,0.7482949549720432,0.7482949549720432,0.6646474027531901,-0.08364755221885312,-0.05000000000000002,negative
0.1,0.2,1,1,0.7482949549720432,0.7482949549720432,0.5978205152599111,-0.1504744397121321,-0.1,negative
0.1,0.25,1,1,0.7482949549720432,0.7482949549720432,0.5432041263489803,-0.2050908286230629,-0.15,negative
0.1,0.3,1,1,0.7482949549720432,0.7482949549720432,0.4977317632238408,-0.2505631917482025,-0.2,negative
0.1,0.35,1,1,0.7482949549720432,0.7482949549720432,0.4592844328464223,-0.2890105221256209,-0.25,negative
0.1,0.4,1,1,0.7482949549720432,0.7482949549720432,0.4263509213805994,-0.3219440335914439,-0.3,negative
