treatment_pass_if_correct,treatment_pass_if_incorrect,control_pass_if_correct,control_pass_if_incorrect,latent_control_accuracy,latent_treatment_accuracy,latent_effect,accepted_control_accuracy,accepted_treatment_accuracy,accepted_effect,distortion,treatment_acceptance_odds_multiplier,zero_effect_boundary_lambda1,sign_reversed_relative_to_latent
0.05,0.05,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.7952747143846032,0.03128172764702319,-0.01569803176553675,1,0.8333333725671752,False
0.05,0.1,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.6601295115826855,-0.1038634751548945,-0.1508432345674544,0.5,0.8333333725671752,True
0.05,0.15,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.5642444869067913,-0.1997484998307887,-0.2467282592433486,0.3333333333333333,0.8333333725671752,True
0.05,0.2,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.4926815817567902,-0.2713114049807898,-0.3182911643933498,0.25,0.8333333725671752,True
0.05,0.25,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.4372281130728897,-0.3267648736646903,-0.3737446330772502,0.2,0.8333333725671752,True
0.05,0.3,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.3929948252061219,-0.3709981615314581,-0.417977920944018,0.1666666666666667,0.8333333725671752,True
0.05,0.35,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.3568892242180352,-0.4071037625195448,-0.4540835219321047,0.1428571428571428,0.8333333725671752,True
0.05,0.4,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.3268596573848106,-0.4371333293527694,-0.4841130887653293,0.125,0.8333333725671752,True
0.05,0.45,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.301491404010883,-0.4625015827266969,-0.5094813421392569,0.1111111111111111,0.8333333725671752,True
0.05,0.5,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.2797773089792487,-0.4842156777583312,-0.5311954371708911,0.1,0.8333333725671752,True
0.05,0.55,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.2609808742252994,-0.5030121125122806,-0.5499918719248406,0.09090909090909091,0.8333333725671752,True
0.05,0.6000000000000001,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.2445510639108734,-0.5194419228267066,-0.5664216822392666,0.08333333333333333,0.8333333725671752,True
0.05,0.65,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.2300673838791788,-0.5339256028584012,-0.5809053622709611,0.07692307692307693,0.8333333725671752,True
0.05,0.7000000000000001,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.2172033860883116,-0.5467896006492684,-0.5937693600618283,0.07142857142857142,0.8333333725671752,True
0.05,0.75,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.2057017683903398,-0.5582912183472402,-0.6052709777598001,0.06666666666666667,0.8333333725671752,True
0.05,0.8,0.98,0.9,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.76399298673758,0.1953569877311756,-0.5686359990064044,-0.6156157584189643,0.0625,0.8333333725671752,True
