treatment_observation_intercept,treatment_observation_slope_on_difficulty,control_observation_probability_constant,control_missing_fraction,treatment_missing_fraction,missing_rate_asymmetry_treatment_minus_control,latent_accuracy_both_arms,control_complete_case_accuracy,treatment_complete_case_accuracy,complete_case_apparent_effect,cov_accuracy_observation,sign
0,-2,0.9706877692486436,0.02931223075135636,0.5000000000000009,0.4706877692486445,0.7482949549720432,0.7482949549720432,0.8350325920711977,0.0867376370991545,0.04336881854957719,positive
0,-1.8,0.9706877692486436,0.02931223075135636,0.5000000000000007,0.4706877692486443,0.7482949549720432,0.7482949549720432,0.8312017295940745,0.08290677462203122,0.04145338731101555,positive
0,-1.6,0.9706877692486436,0.02931223075135636,0.5000000000000011,0.4706877692486447,0.7482949549720432,0.7482949549720432,0.8266614273979191,0.07836647242587591,0.03918323621293784,positive
0,-1.4,0.9706877692486436,0.02931223075135636,0.5000000000000011,0.4706877692486447,0.7482949549720432,0.7482949549720432,0.8212650733274615,0.07297011835541822,0.03648505917770906,positive
0,-1.2,0.9706877692486436,0.02931223075135636,0.5000000000000009,0.4706877692486445,0.7482949549720432,0.7482949549720432,0.8148439394230144,0.06654898445097113,0.03327449222548551,positive
0,-1,0.9706877692486436,0.02931223075135636,0.5000000000000018,0.4706877692486454,0.7482949549720432,0.7482949549720432,0.8072150984420405,0.0589201434699973,0.02946007173499854,positive
0,-0.7999999999999998,0.9706877692486436,0.02931223075135636,0.5000000000000019,0.4706877692486455,0.7482949549720432,0.7482949549720432,0.7982026550922499,0.04990770012020662,0.0249538500601032,positive
0,-0.5999999999999999,0.9706877692486436,0.02931223075135636,0.5000000000000012,0.4706877692486449,0.7482949549720432,0.7482949549720432,0.7876818956007073,0.0393869406286641,0.019693470314332,positive
0,-0.3999999999999999,0.9706877692486436,0.02931223075135636,0.4999999999999999,0.4706877692486435,0.7482949549720432,0.7482949549720432,0.7756551373087244,0.02736018233668114,0.01368009116834062,positive
0,-0.2,0.9706877692486436,0.02931223075135636,0.5000000000000011,0.4706877692486447,0.7482949549720432,0.7482949549720432,0.7623514509273671,0.01405649595532388,0.007028247977661939,positive
0,0,0.9706877692486436,0.02931223075135636,0.5,0.4706877692486436,0.7482949549720432,0.7482949549720432,0.7482949549720436,0,0,zero
