bank_size_B,per_call_hazard_h,expected_failures_Bh,full_bank_probability,stop_probability,omi_B1488_scale_marker
100,0.000001,0.00009999999999999999,0.9999000049498354,0.00009999505016455856,False
100,0.000001258925411794166,0.0001258925411794166,0.9998741153037181,0.0001258846962819415,False
100,0.000001584893192461114,0.0001584893192461114,0.9998415231139478,0.0001584768860521946,False
100,0.000001995262314968879,0.0001995262314968879,0.9998004934735282,0.0001995065264718265,False
100,0.000002511886431509582,0.0002511886431509582,0.9997488425866737,0.000251157413326264,False
100,0.000003162277660168379,0.0003162277660168379,0.9996838217288696,0.0003161782711303962,False
100,0.000003981071705534969,0.0003981071705534969,0.9996019712714598,0.0003980287285402229,False
100,0.000005011872336272725,0.0005011872336272725,0.9994989370843982,0.0005010629156018132,False
100,0.00000630957344480193,0.000630957344480193,0.9993692396779555,0.0006307603220444546,False
100,0.000007943282347242822,0.0007943282347242822,0.999205984008138,0.0007940159918620182,False
100,0.00001,0.001,0.9990004948383437,0.0009995051616562556,False
100,0.00001258925411794166,0.001258925411794166,0.9987418587877992,0.001258141212200803,False
100,0.00001584893192461114,0.001584893192461114,0.9984163495478283,0.001583650452171681,False
100,0.00001995262314968879,0.001995262314968878,0.9980067070317179,0.001993292968282101,False
100,0.00002511886431509582,0.002511886431509582,0.9974912342461322,0.002508765753867825,False
100,0.0000316227766016838,0.003162277660168379,0.9968426672303422,0.003157332769657795,False
100,0.00003981071705534969,0.003981071705534969,0.9960267633230258,0.003973236676974246,False
100,0.00005011872336272725,0.005011872336272725,0.9950005411694605,0.004999458830539538,False
100,0.00006309573444801929,0.006309573444801929,0.9937100923050037,0.006289907694996266,False
100,0.00007943282347242822,0.007943282347242822,0.9920878691552004,0.007912130844799581,False
100,0.0001,0.01,0.9900493386913719,0.009950661308628095,False
100,0.0001258925411794167,0.01258925411794167,0.9874888764437566,0.0125111235562434,False
100,0.0001584893192461114,0.01584893192461114,0.9842747651810694,0.01572523481893062,False
100,0.0001995262314968879,0.01995262314968879,0.98024316166197,0.01975683833802999,False
100,0.000251188643150958,0.02511886431509579,0.9751909123338154,0.02480908766618461,False
100,0.0003162277660168379,0.03162277660168379,0.9688671489706996,0.03113285102930041,False
100,0.0003981071705534974,0.03981071705534973,0.9609637002432169,0.03903629975678313,False
100,0.0005011872336272725,0.05011872336272725,0.9511045486475014,0.04889545135249862,False
100,0.000630957344480193,0.0630957344480193,0.9388348928607363,0.06116510713926371,False
100,0.0007943282347242813,0.07943282347242814,0.9236109109631251,0.07638908903687491,False
100,0.001,0.1,0.9047921471137089,0.09520785288629108,False
100,0.001258925411794167,0.1258925411794168,0.8816396624653418,0.1183603375346582,False
100,0.001584893192461114,0.1584893192461114,0.853324786174961,0.146675213825039,False
100,0.001995262314968879,0.1995262314968879,0.8189554843616216,0.1810445156383784,False
100,0.002511886431509579,0.251188643150958,0.7776298407530512,0.2223701592469488,False
100,0.003162277660168379,0.3162277660168379,0.7285282887368694,0.2714717112631306,False
100,0.003981071705534973,0.3981071705534973,0.6710566451039589,0.3289433548960411,False
100,0.005011872336272725,0.5011872336272725,0.6050480581795824,0.3949519418204176,False
100,0.00630957344480193,0.630957344480193,0.5310196285808173,0.4689803714191827,False
100,0.007943282347242814,0.7943282347242814,0.4504537693964246,0.5495462306035754,False
100,0.01,1,0.3660323412732292,0.6339676587267709,False
200,0.000001,0.0002,0.9998000198986809,0.0001999801013190527,False
200,0.000001258925411794166,0.0002517850823588332,0.9997482464543928,0.0002517535456072473,False
200,0.000001584893192461114,0.0003169786384922228,0.999683071342819,0.0003169286571810259,False
200,0.000001995262314968879,0.0003990524629937758,0.9996010267499104,0.0003989732500896404,False
