output_cap,log2_output_cap,treatment_log_demand_shift,treatment_median_demand_ratio_exp_shift,control_truncation_fraction,treatment_truncation_fraction,truncation_asymmetry_treatment_minus_control,latent_control_accuracy,latent_treatment_accuracy,latent_effect,complete_case_effect,complete_case_distortion,truncation_as_error_effect,truncation_as_error_distortion
512,9,-0.6,0.5488116360940264,0.32917365329717,0.1272094161060837,-0.2019642371910862,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.01291380556807531,-0.0266749121472869,0.1718391080850901,0.1322503903697279
512,9,-0.54,0.5827482523739896,0.32917365329717,0.1423246532667672,-0.1868490000304027,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.01475142301555998,-0.02483729469980223,0.1612028926499119,0.1216141749345497
512,9,-0.48,0.6187833918061408,0.32917365329717,0.1586105484337187,-0.1705631048634513,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.01667894724189189,-0.02290977047347031,0.1496366409472415,0.1100479232318793
512,9,-0.42,0.6570468198150567,0.32917365329717,0.1760726445941112,-0.1531010087030588,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.01869373215151482,-0.02089498556384739,0.1371225002476837,0.09753378253232148
512,9,-0.36,0.697676326071031,0.32917365329717,0.1947050612765343,-0.1344685920206357,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.02079266582891026,-0.01879605188645195,0.1236510813548173,0.08406236363945507
512,9,-0.3,0.7408182206817179,0.32917365329717,0.2144897887549322,-0.1146838645422378,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.02297221538274796,-0.01661650233261425,0.1092222682842653,0.06963355056890308
512,9,-0.24,0.7866278610665535,0.32917365329717,0.235396177882354,-0.09377747541481596,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.02522847519328952,-0.01436024252207269,0.09384589574727742,0.05425717803191521
512,9,-0.18,0.835270211411272,0.32917365329717,0.2573806508749462,-0.07179300242222375,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.02755721729261074,-0.01203150042275147,0.07754226729489888,0.03795354957953667
512,9,-0.12,0.8869204367171575,0.32917365329717,0.2803866533199323,-0.04878699997723768,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.0299539426861094,-0.009634775029252807,0.06034249005598569,0.02075377234062348
512,9,-0.05999999999999994,0.9417645335842487,0.32917365329717,0.3043448616303035,-0.02482879166686647,0.7482949549720432,0.7878836726874054,0.03958871771536221,0.0324139325335876,-0.007174785181774612,0.04228860615397256,0.002699888438610354
