bank_size_B,per_call_hazard_h,expected_failures_Bh,full_bank_probability,stop_probability,omi_B1488_scale_marker
100,1e-06,9.999999999999999e-05,0.9999000049498354,9.999505016455856e-05,False
100,1.2589254117941661e-06,0.0001258925411794166,0.9998741153037181,0.00012588469628194154,False
100,1.584893192461114e-06,0.00015848931924611142,0.9998415231139478,0.00015847688605219457,False
100,1.9952623149688787e-06,0.00019952623149688788,0.9998004934735282,0.00019950652647182654,False
100,2.5118864315095823e-06,0.0002511886431509582,0.9997488425866737,0.00025115741332626396,False
100,3.162277660168379e-06,0.00031622776601683794,0.9996838217288696,0.0003161782711303962,False
100,3.981071705534969e-06,0.0003981071705534969,0.9996019712714598,0.00039802872854022286,False
100,5.011872336272725e-06,0.0005011872336272725,0.9994989370843982,0.0005010629156018132,False
100,6.30957344480193e-06,0.000630957344480193,0.9993692396779555,0.0006307603220444546,False
100,7.943282347242822e-06,0.0007943282347242822,0.999205984008138,0.0007940159918620182,False
100,1e-05,0.001,0.9990004948383437,0.0009995051616562556,False
100,1.2589254117941661e-05,0.0012589254117941662,0.9987418587877992,0.0012581412122008029,False
100,1.584893192461114e-05,0.001584893192461114,0.9984163495478283,0.001583650452171681,False
100,1.9952623149688786e-05,0.0019952623149688785,0.9980067070317179,0.001993292968282101,False
100,2.5118864315095822e-05,0.002511886431509582,0.9974912342461322,0.0025087657538678254,False
100,3.1622776601683795e-05,0.0031622776601683794,0.9968426672303422,0.0031573327696577946,False
100,3.9810717055349695e-05,0.003981071705534969,0.9960267633230258,0.0039732366769742455,False
100,5.011872336272725e-05,0.0050118723362727255,0.9950005411694605,0.004999458830539538,False
100,6.309573444801929e-05,0.006309573444801929,0.9937100923050037,0.006289907694996266,False
100,7.943282347242822e-05,0.007943282347242822,0.9920878691552004,0.00791213084479958,False
100,0.0001,0.01,0.9900493386913719,0.009950661308628095,False
100,0.00012589254117941674,0.012589254117941675,0.9874888764437566,0.012511123556243398,False
100,0.00015848931924611142,0.01584893192461114,0.9842747651810694,0.015725234818930622,False
100,0.0001995262314968881,0.01995262314968881,0.98024316166197,0.01975683833802999,False
100,0.0002511886431509582,0.025118864315095822,0.9751909123338154,0.024809087666184615,False
100,0.00031622776601683794,0.03162277660168379,0.9688671489706996,0.031132851029300412,False
100,0.00039810717055349735,0.039810717055349734,0.9609637002432169,0.03903629975678313,False
100,0.0005011872336272725,0.050118723362727255,0.9511045486475014,0.04889545135249862,False
100,0.0006309573444801936,0.06309573444801936,0.9388348928607363,0.06116510713926371,False
100,0.0007943282347242822,0.07943282347242822,0.9236109109631251,0.07638908903687491,False
100,0.001,0.1,0.9047921471137089,0.09520785288629108,False
100,0.0012589254117941675,0.12589254117941676,0.8816396624653418,0.11836033753465824,False
100,0.001584893192461114,0.1584893192461114,0.853324786174961,0.146675213825039,False
100,0.0019952623149688807,0.19952623149688806,0.8189554843616216,0.18104451563837842,False
100,0.002511886431509582,0.2511886431509582,0.7776298407530512,0.2223701592469488,False
100,0.0031622776601683794,0.31622776601683794,0.7285282887368694,0.27147171126313063,False
100,0.003981071705534973,0.3981071705534973,0.6710566451039589,0.3289433548960411,False
100,0.005011872336272725,0.5011872336272725,0.6050480581795824,0.3949519418204176,False
100,0.006309573444801936,0.6309573444801936,0.5310196285808173,0.4689803714191827,False
100,0.00794328234724282,0.794328234724282,0.4504537693964246,0.5495462306035754,False
100,0.01,1.0,0.3660323412732292,0.6339676587267709,False
200,1e-06,0.00019999999999999998,0.999800019898681,0.00019998010131905275,False
200,1.2589254117941661e-06,0.0002517850823588332,0.9997482464543928,0.0002517535456072473,False
200,1.584893192461114e-06,0.00031697863849222284,0.999683071342819,0.0003169286571810259,False
200,1.9952623149688787e-06,0.00039905246299377575,0.9996010267499104,0.00039897325008964035,False
200,2.5118864315095823e-06,0.0005023772863019165,0.9994977482533938,0.0005022517466062304,False
200,3.162277660168379e-06,0.0006324555320336759,0.9993677434264384,0.0006322565735615848,False
200,3.981071705534969e-06,0.0007962143411069938,0.9992041009697883,0.0007958990302117108,False
200,5.011872336272725e-06,0.001002374467254545,0.9989981252328418,0.001001874767158184,False
200,6.30957344480193e-06,0.001261914688960386,0.9987388772144948,0.0012611227855051643,False
200,7.943282347242822e-06,0.0015886564694485644,0.9984125984776714,0.001587401522328613,False
200,1e-05,0.002,0.9980019886872556,0.001998011312744352,False
200,1.2589254117941661e-05,0.0025178508235883324,0.9974853004949082,0.0025146995050917553,False
200,1.584893192461114e-05,0.003169786384922228,0.9968352070444112,0.003164792955588802,False
200,1.9952623149688786e-05,0.003990524629937757,0.9960173872802932,0.003982612719706791,False
200,2.5118864315095822e-05,0.005023772863019164,0.9949887623978722,0.005011237602127849,False
200,3.1622776601683795e-05,0.006324555320336759,0.9936953032109028,0.006304696789097175,False
200,3.9810717055349695e-05,0.007962143411069938,0.9920693132557428,0.007930686744257232,False
200,5.011872336272725e-05,0.010023744672545451,0.9900260769275191,0.009973923072480906,False
200,6.309573444801929e-05,0.012619146889603859,0.987459747548819,0.012540252451180955,False
200,7.943282347242822e-05,0.015886564694485645,0.984238340124906,0.015761659875094036,False
200,0.0001,0.02,0.9801976930432228,0.019802306956777205,False
200,0.00012589254117941674,0.02517850823588335,0.9751342811001528,0.024865718899847233,False
200,0.00015848931924611142,0.03169786384922228,0.9687968133722493,0.03120318662775068,False
200,0.0001995262314968881,0.03990524629937762,0.960876655985055,0.039123344014944994,False
200,0.0002511886431509582,0.050237728630191644,0.9509973154984591,0.04900268450154088,False
