control_extraction_success_random_within_arm,treatment_extraction_success_random_within_arm,raw_control_accuracy,raw_treatment_accuracy,raw_effect,derived_control_accuracy_failure_to_zero,derived_treatment_accuracy_failure_to_zero,derived_effect,distortion,sign_reversed_relative_to_raw,true_null_apparent_effect_if_p0_equals_p1,zero_effect_boundary_residual_r1p1_minus_r0p0
0.0,0.0,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.0,0.0,-0.04697975941256005,False,0.0,0.0
0.0,0.05,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.03976373571923018,0.03976373571923018,-0.007216023693329875,False,0.03741474774860217,0.03976373571923018
0.0,0.1,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.07952747143846035,0.07952747143846035,0.0325477120259003,False,0.07482949549720434,0.07952747143846035
0.0,0.15000000000000002,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.11929120715769054,0.11929120715769054,0.07231144774513049,False,0.11224424324580654,0.11929120715769054
0.0,0.2,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.1590549428769207,0.1590549428769207,0.11207518346436066,False,0.14965899099440869,0.1590549428769207
0.0,0.25,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.19881867859615088,0.19881867859615088,0.15183891918359083,False,0.18707373874301086,0.19881867859615088
0.0,0.30000000000000004,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.23858241431538108,0.23858241431538108,0.19160265490282102,False,0.22448848649161307,0.23858241431538108
0.0,0.35000000000000003,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.2783461500346113,0.2783461500346113,0.23136639062205122,False,0.2619032342402152,0.2783461500346113
0.0,0.4,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.3181098857538414,0.3181098857538414,0.27113012634128136,False,0.29931798198881737,0.3181098857538414
0.0,0.45,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.3578736214730716,0.3578736214730716,0.31089386206051156,False,0.3367327297374196,0.3578736214730716
0.0,0.5,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.39763735719230175,0.39763735719230175,0.3506575977797417,False,0.37414747748602173,0.39763735719230175
0.0,0.55,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.43740109291153195,0.43740109291153195,0.3904213334989719,False,0.41156222523462394,0.43740109291153195
0.0,0.6000000000000001,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.47716482863076215,0.47716482863076215,0.4301850692182021,False,0.44897697298322614,0.47716482863076215
0.0,0.65,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.5169285643499923,0.5169285643499923,0.4699488049374323,False,0.48639172073182824,0.5169285643499923
0.0,0.7000000000000001,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.5566923000692225,0.5566923000692225,0.5097125406566625,False,0.5238064684804304,0.5566923000692225
0.0,0.75,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.5964560357884526,0.5964560357884526,0.5494762763758926,False,0.5612212162290326,0.5964560357884526
0.0,0.8,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.6362197715076828,0.6362197715076828,0.5892400120951228,False,0.5986359639776347,0.6362197715076828
0.0,0.8500000000000001,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.675983507226913,0.675983507226913,0.629003747814353,False,0.636050711726237,0.675983507226913
0.0,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.7157472429461432,0.7157472429461432,0.6687674835335832,False,0.6734654594748392,0.7157472429461432
0.0,0.9500000000000001,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.7555109786653734,0.7555109786653734,0.7085312192528134,False,0.7108802072234414,0.7555109786653734
0.0,1.0,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.0,0.7952747143846035,0.7952747143846035,0.7482949549720435,False,0.7482949549720435,0.7952747143846035
0.05,0.0,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.0,-0.03741474774860217,-0.08439450716116223,True,-0.03741474774860217,-0.03741474774860217
0.05,0.05,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.03976373571923018,0.0023489879706280054,-0.044630771441932046,False,0.0,0.0023489879706280054
0.05,0.1,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.07952747143846035,0.04211272368985818,-0.004867035722701869,False,0.03741474774860217,0.04211272368985818
0.05,0.15000000000000002,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.11929120715769054,0.08187645940908836,0.03489669999652831,False,0.07482949549720436,0.08187645940908836
0.05,0.2,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.1590549428769207,0.12164019512831853,0.07466043571575848,False,0.11224424324580654,0.12164019512831853
0.05,0.25,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.19881867859615088,0.1614039308475487,0.11442417143498865,False,0.14965899099440869,0.1614039308475487
0.05,0.30000000000000004,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.23858241431538108,0.2011676665667789,0.15418790715421885,False,0.1870737387430109,0.2011676665667789
0.05,0.35000000000000003,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.2783461500346113,0.2409314022860091,0.19395164287344904,False,0.22448848649161307,0.2409314022860091
0.05,0.4,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.3181098857538414,0.28069513800523926,0.2337153785926792,False,0.2619032342402152,0.28069513800523926
0.05,0.45,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.3578736214730716,0.32045887372446946,0.2734791143119094,False,0.29931798198881737,0.32045887372446946
0.05,0.5,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.03741474774860217,0.39763735719230175,0.3602226094436996,0.31324285003113955,False,0.3367327297374196,0.3602226094436996
