treatment_pass_if_correct,treatment_pass_if_incorrect,control_pass_if_correct,control_pass_if_incorrect,latent_control_accuracy,latent_treatment_accuracy,latent_effect,accepted_control_accuracy,accepted_treatment_accuracy,accepted_effect,distortion,treatment_acceptance_odds_multiplier,zero_effect_boundary_lambda1,sign_reversed_relative_to_latent
0.05,0.05,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.7952747143846035,0.031281727647023305,-0.015698031765536746,1.0,0.8333333725671745,False
0.05,0.1,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.660129511582686,-0.10386347515489425,-0.1508432345674543,0.5,0.8333333725671745,True
0.05,0.15000000000000002,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.5642444869067919,-0.19974849983078835,-0.2467282592433484,0.3333333333333333,0.8333333725671745,True
0.05,0.2,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.49268158175679067,-0.27131140498078954,-0.3182911643933496,0.25,0.8333333725671745,True
0.05,0.25,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.4372281130728903,-0.3267648736646899,-0.37374463307725,0.2,0.8333333725671745,True
0.05,0.3,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.39299482520612244,-0.37099816153145776,-0.4179779209440178,0.16666666666666669,0.8333333725671745,True
0.05,0.35000000000000003,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.35688922421803565,-0.40710376251954455,-0.4540835219321046,0.14285714285714285,0.8333333725671745,True
0.05,0.4,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.326859657384811,-0.4371333293527692,-0.48411308876532927,0.125,0.8333333725671745,True
0.05,0.45,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.3014914040108835,-0.4625015827266967,-0.5094813421392568,0.11111111111111112,0.8333333725671745,True
0.05,0.5,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.2797773089792492,-0.484215677758331,-0.5311954371708911,0.1,0.8333333725671745,True
0.05,0.55,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.2609808742252998,-0.5030121125122804,-0.5499918719248404,0.09090909090909091,0.8333333725671745,True
0.05,0.6000000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.24455106391087372,-0.5194419228267064,-0.5664216822392665,0.08333333333333333,0.8333333725671745,True
0.05,0.6500000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.23006738387917916,-0.5339256028584011,-0.5809053622709611,0.07692307692307691,0.8333333725671745,True
0.05,0.7000000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.2172033860883119,-0.5467896006492683,-0.5937693600618283,0.07142857142857142,0.8333333725671745,True
0.05,0.7500000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.20570176839034013,-0.55829121834724,-0.6052709777598001,0.06666666666666667,0.8333333725671745,True
0.05,0.8,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.19535698773117594,-0.5686359990064043,-0.6156157584189643,0.0625,0.8333333725671745,True
0.05,0.8500000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.18600286845824565,-0.5779901182793346,-0.6249698776918946,0.058823529411764705,0.8333333725671745,True
0.05,0.9000000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.17750360800223777,-0.5864893787353425,-0.6334691381479025,0.05555555555555555,0.8333333725671745,True
0.05,0.9500000000000001,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.16974714073520225,-0.594245846002378,-0.641225605414938,0.05263157894736842,0.8333333725671745,True
0.05,1.0,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.16264016888024777,-0.6013528178573324,-0.6483325772698925,0.05,0.8333333725671745,True
0.1,0.05,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.8859643685865793,0.12197138184899914,0.07499162243643909,2.0,0.8333333725671745,False
0.1,0.1,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.7952747143846035,0.031281727647023305,-0.015698031765536746,1.0,0.8333333725671745,False
0.1,0.15000000000000002,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.7214274899220576,-0.042565496815522574,-0.08954525622808263,0.6666666666666666,0.8333333725671745,True
0.1,0.2,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.660129511582686,-0.10386347515489425,-0.1508432345674543,0.5,0.8333333725671745,True
0.1,0.25,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.6084324528526891,-0.1555605338848911,-0.20254029329745116,0.4,0.8333333725671745,True
0.1,0.3,0.98,0.9,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7639929867375802,0.5642444869067919,-0.19974849983078835,-0.2467282592433484,0.33333333333333337,0.8333333725671745,True
