output_cap,log2_output_cap,treatment_log_demand_shift,treatment_median_demand_ratio_exp_shift,control_truncation_fraction,treatment_truncation_fraction,truncation_asymmetry_treatment_minus_control,latent_control_accuracy,latent_treatment_accuracy,latent_effect,complete_case_effect,complete_case_distortion,truncation_as_error_effect,truncation_as_error_distortion
512,9.0,-0.6,0.5488116360940264,0.3291736532971692,0.12720941610608205,-0.20196423719108714,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.012913805568076975,-0.026674912147285235,0.17183910808509195,0.13225039036972974
512,9.0,-0.54,0.5827482523739896,0.3291736532971692,0.14232465326676635,-0.18684900003040283,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.014751423015562426,-0.024837294699799783,0.16120289264991383,0.12161417493455162
512,9.0,-0.4800000000000001,0.6187833918061408,0.3291736532971692,0.15861054843371614,-0.17056310486345305,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.016678947241895115,-0.022909770473467095,0.14963664094724538,0.11004792323188317
512,9.0,-0.42000000000000015,0.6570468198150566,0.3291736532971692,0.17607264459410854,-0.15310100870306065,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.018693732151517595,-0.020894985563844615,0.13712250024768724,0.09753378253232503
512,9.0,-0.3600000000000002,0.6976763260710309,0.3291736532971692,0.19470506127653264,-0.13446859202063655,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.020792665828910706,-0.018796051886451504,0.12365108135481817,0.08406236363945596
512,9.0,-0.30000000000000027,0.7408182206817177,0.3291736532971692,0.21448978875493174,-0.11468386454223745,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.02297221538274996,-0.01661650233261225,0.1092222682842664,0.06963355056890419
512,9.0,-0.24000000000000032,0.7866278610665531,0.3291736532971692,0.23539617788235212,-0.09377747541481707,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.0252284751932903,-0.014360242522071909,0.09384589574727875,0.05425717803191654
512,9.0,-0.18000000000000038,0.8352702114112717,0.3291736532971692,0.2573806508749428,-0.07179300242222642,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.027557217292612513,-0.012031500422749697,0.07754226729490221,0.03795354957954
512,9.0,-0.12000000000000044,0.8869204367171571,0.3291736532971692,0.28038665331993284,-0.048786999977236345,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.029953942686111623,-0.009634775029250586,0.06034249005598613,0.02075377234062392
512,9.0,-0.0600000000000005,0.9417645335842483,0.3291736532971692,0.3043448616303013,-0.02482879166686791,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.03241393253358871,-0.007174785181773502,0.04228860615397445,0.0026998884386122413
512,9.0,-5.551115123125783e-16,0.9999999999999994,0.3291736532971692,0.32917365329716897,-2.220446049250313e-16,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.03493229824018551,-0.0046564194751766985,0.02343350601039751,-0.0161552117049647
512,9.0,0.05999999999999939,1.061836546545359,0.3291736532971692,0.354779839828659,0.025606186531489827,0.7482949549720435,0.7878836726874057,0.03958871771536221,0.03750402965222044,-0.002084688063141771,0.0038406146823473097,-0.0357481030330149
