instance_id,D_overall
R4PC001,0.16666666666666666
R4PC002,0.16666666666666666
R4PC003,0.16666666666666666
R4PC004,0.16666666666666666
R4PC005,0.3333333333333333
R4PC006,-0.3333333333333333
R4PC007,0.0
R4PC008,-0.16666666666666666
R4PC009,-0.16666666666666666
R4PC010,-0.16666666666666666
R4PC011,0.16666666666666666
R4PC012,-0.16666666666666666
R4PC013,-0.16666666666666666
R4PC014,0.16666666666666666
R4PC015,0.16666666666666666
R4PC016,-0.16666666666666666
R4PC017,-0.16666666666666666
R4PC018,0.0
R4PC019,0.16666666666666666
R4PC020,0.0
R4PC021,-0.16666666666666666
R4PC022,0.0
R4PC023,0.3333333333333333
R4PC024,0.0
R4PC025,0.3333333333333333
R4PC026,0.16666666666666666
R4PC027,-0.16666666666666666
R4PC028,0.5
